,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
5423,1020017,8592,9836,2011/2012,2012-03-17,AWAY_WIN,67.0,77.5,64.0,76.25,72.0,84.0,1.0,0.0,0.0,0.558823529412,0.428571428571,0.153846153846,0.153846153846,
5424,1020019,8481,10249,2011/2012,2012-03-17,HOME_WIN,77.5,68.5,75.5,71.25,75.0,72.0,0.25,0.5,0.25,0.294117647059,0.214285714286,0.326530612245,0.384615384615,0.5
5425,1020021,9851,9941,2011/2012,2012-03-18,AWAY_WIN,75.0,76.5,73.2,71.25,73.0,76.0,0.5,0.333333333333,0.166666666667,0.530303030303,0.384615384615,0.285714285714,0.25,0.0
5426,1020023,9853,9748,2011/2012,2012-03-17,AWAY_WIN,78.0,73.0,74.0,69.4,86.0,79.0,0.166666666667,0.666666666667,0.166666666667,0.4,0.5,0.369230769231,0.285714285714,1.0
5427,1020025,9874,9831,2011/2012,2012-03-18,HOME_WIN,68.0,67.5,70.5,65.33333333,77.0,74.0,0.428571428571,0.142857142857,0.428571428571,0.460317460317,0.230769230769,0.176470588235,0.0769230769231,0.0
5428,1020028,8576,8689,2011/2012,2012-03-24,DRAW,73.0,70.5,73.0,66.5,75.0,77.0,0.0,1.0,0.0,0.357142857143,0.357142857143,0.208955223881,0.0714285714286,
5429,1020030,8521,8481,2011/2012,2012-03-24,AWAY_WIN,68.5,67.0,72.5,69.5,72.0,76.0,0.666666666667,0.333333333333,0.0,0.3,0.357142857143,0.279411764706,0.230769230769,0.0
5430,1020033,9836,7819,2011/2012,2012-03-25,HOME_WIN,68.0,67.0,67.5,64.0,76.0,72.0,0.0,1.0,0.0,0.384615384615,0.384615384615,0.208333333333,0.25,
5431,1020034,4087,8639,2011/2012,2012-03-24,AWAY_WIN,77.0,65.0,73.5,68.0,80.0,71.0,0.0,0.0,1.0,0.538461538462,0.538461538462,0.373134328358,0.428571428571,
5432,1020036,9748,9874,2011/2012,2012-03-24,HOME_WIN,66.0,82.0,65.33333333,72.33333333,74.0,86.0,0.666666666667,0.333333333333,0.0,0.597014925373,0.692307692308,0.159420289855,0.142857142857,0.333333333333
5433,1020038,10249,9853,2011/2012,2012-03-24,HOME_WIN,71.66666667,77.5,72.0,76.33333333,79.0,75.0,0.2,0.6,0.2,0.6,0.857142857143,0.260869565217,0.428571428571,0.5
5434,1020040,9831,8592,2011/2012,2012-03-24,DRAW,73.0,65.0,75.75,70.5,84.0,77.0,0.142857142857,0.857142857143,0.0,0.409090909091,0.357142857143,0.477611940299,0.307692307692,0.666666666667
5435,1020050,9847,9827,2011/2012,2012-03-25,DRAW,74.0,76.5,73.2,80.0,80.0,83.0,0.285714285714,0.571428571429,0.142857142857,0.565217391304,0.714285714286,0.328358208955,0.307692307692,0.333333333333
5436,1020053,9941,8583,2011/2012,2012-03-25,HOME_WIN,66.0,75.0,69.25,75.6,74.0,73.0,0.285714285714,0.428571428571,0.285714285714,0.44262295082,0.538461538462,0.298507462687,0.0,0.666666666667
5437,1020055,9873,9851,2011/2012,2012-03-24,HOME_WIN,76.5,72.0,70.8,71.0,76.0,75.0,0.333333333333,0.333333333333,0.333333333333,0.46875,0.538461538462,0.283582089552,0.416666666667,0.5
5438,1019357,8576,4087,2011/2012,2011-08-20,DRAW,69.0,73.0,66.75,66.0,71.0,76.0,,,,0.0,0.0,0.0,0.0,
5439,1019358,9827,8583,2011/2012,2011-08-20,DRAW,71.0,73.5,71.8,75.66666667,75.0,80.0,0.666666666667,0.333333333333,0.0,0.578947368421,0.0,0.37037037037,0.0,0.333333333333
5440,1019359,8521,9748,2011/2012,2011-08-20,DRAW,77.33333333,72.5,76.0,64.0,85.0,76.0,0.0,0.5,0.5,0.235294117647,0.0,0.403846153846,1.0,0.0
5441,1019361,7819,8639,2011/2012,2011-08-20,AWAY_WIN,78.0,0.0,77.25,69.0,80.0,74.0,0.0,0.75,0.25,0.315789473684,1.0,0.351851851852,0.0,1.0
5442,1019363,9836,8689,2011/2012,2011-08-20,HOME_WIN,73.0,69.0,73.0,64.0,75.0,67.0,,,,,,0.259259259259,1.0,
5443,1019365,8592,9853,2011/2012,2011-08-21,DRAW,72.5,82.0,70.0,75.75,80.0,84.0,0.666666666667,0.0,0.333333333333,0.581818181818,0.0,0.232142857143,1.0,0.0
5444,1019368,10249,9851,2011/2012,2011-08-21,HOME_WIN,74.0,75.0,74.0,74.66666667,74.0,68.0,0.5,0.5,0.0,0.513513513514,1.0,0.254545454545,,0.5
5445,1019370,8481,9874,2011/2012,2011-08-21,AWAY_WIN,0.0,72.0,64.6,74.66666667,73.0,70.0,0.333333333333,0.333333333333,0.333333333333,0.309090909091,0.0,0.160714285714,0.0,0.0
