match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating
1229247,8455,9879,2012/2013,11/28/12 0:00,DRAW,75,83,74.25,79,79,84
1229249,8668,9825,2012/2013,11/28/12 0:00,DRAW,80.5,75,81.5,78,80,81
1229250,9825,10003,2012/2013,12/1/12 0:00,AWAY_WIN,76.5,81.33333333,73.25,77.75,72,80
1229251,9879,8586,2012/2013,12/1/12 0:00,AWAY_WIN,81.5,79,77.6,74.25,85,79
1229253,8650,8466,2012/2013,12/1/12 0:00,HOME_WIN,74,85,72.2,80.8,65,83
1229254,8456,8668,2012/2013,12/1/12 0:00,DRAW,75,84.5,78,81.33333333,81,84
1229255,10261,8528,2012/2013,12/3/12 0:00,HOME_WIN,75,82,73.4,77.4,79,79
1229256,9850,8472,2012/2013,12/2/12 0:00,HOME_WIN,77,74.5,72,72.25,76,70
1229257,10172,10252,2012/2013,12/1/12 0:00,DRAW,73,69,70,73.25,76,76
1229258,9798,10260,2012/2013,12/1/12 0:00,AWAY_WIN,88,70.66666667,81,69,78,72
1229259,8659,10194,2012/2013,12/1/12 0:00,AWAY_WIN,74,73.5,72.5,71.25,79,73
1229260,8654,8455,2012/2013,12/1/12 0:00,HOME_WIN,79.5,71.5,80.2,71.8,84,72
1229261,9825,8659,2012/2013,12/8/12 0:00,HOME_WIN,74.5,80.5,71.75,80.75,73,80
1229262,10252,10194,2012/2013,12/8/12 0:00,DRAW,74,73,72.5,70,79,76
1229264,8668,8586,2012/2013,12/9/12 0:00,HOME_WIN,81.33333333,78,78.4,77.5,85,81
1229265,9879,10261,2012/2013,12/10/12 0:00,HOME_WIN,81.66666667,75,77.4,75.8,79,79
1229267,8456,10260,2012/2013,12/9/12 0:00,AWAY_WIN,88,85,81,80.75,80,84
1229268,8466,9798,2012/2013,12/8/12 0:00,HOME_WIN,70.66666667,74,69,72.2,72,73
1229269,8472,8455,2012/2013,12/8/12 0:00,AWAY_WIN,79.5,69,81,73.25,84,76
