,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Goalkeeper_rating,home_Goalkeeper_rating
634,838755,8571,8635,2010/2011,2010-12-29 00:00:00,AWAY_WIN,72.0,68.0
636,838759,8635,9985,2010/2011,2011-01-23 00:00:00,HOME_WIN,64.0,72.0
637,838761,9991,9994,2010/2011,2011-01-23 00:00:00,HOME_WIN,72.0,72.0
638,838764,9987,8571,2010/2011,2011-01-22 00:00:00,HOME_WIN,68.0,68.0
639,838765,9993,10000,2010/2011,2011-01-22 00:00:00,HOME_WIN,69.0,64.0
640,838767,9986,8203,2010/2011,2011-01-22 00:00:00,DRAW,69.0,64.0
641,838768,6351,8342,2010/2011,2011-01-21 00:00:00,AWAY_WIN,64.0,64.0
642,838770,10001,9997,2010/2011,2011-01-22 00:00:00,HOME_WIN,55.0,68.0
643,838772,9984,9989,2010/2011,2011-01-22 00:00:00,HOME_WIN,65.0,65.0
644,838773,8342,9993,2010/2011,2011-01-29 00:00:00,HOME_WIN,64.0,64.0
645,838774,9985,10001,2010/2011,2011-01-29 00:00:00,HOME_WIN,68.0,64.0
646,838775,9997,9991,2010/2011,2011-01-30 00:00:00,DRAW,72.0,59.0
647,838777,10000,9987,2010/2011,2011-01-28 00:00:00,AWAY_WIN,68.0,69.0
648,838778,9994,6351,2010/2011,2011-01-29 00:00:00,AWAY_WIN,64.0,72.0
649,838780,8571,9984,2010/2011,2011-01-29 00:00:00,HOME_WIN,65.0,68.0
651,838783,9989,9986,2010/2011,2011-01-29 00:00:00,HOME_WIN,64.0,65.0
652,838789,8635,9997,2010/2011,2011-02-05 00:00:00,HOME_WIN,59.0,72.0
653,838790,9991,9989,2010/2011,2011-02-04 00:00:00,HOME_WIN,68.0,72.0
654,838791,9987,8342,2010/2011,2011-02-06 00:00:00,HOME_WIN,64.0,68.0
655,838792,9993,9994,2010/2011,2011-02-06 00:00:00,DRAW,72.0,64.0
656,838794,9986,10000,2010/2011,2011-02-05 00:00:00,HOME_WIN,69.0,64.0
657,838796,6351,9985,2010/2011,2011-02-06 00:00:00,AWAY_WIN,64.0,64.0
658,838798,10001,8571,2010/2011,2011-02-05 00:00:00,HOME_WIN,58.0,68.0
659,838800,9984,8203,2010/2011,2011-02-05 00:00:00,AWAY_WIN,69.0,65.0
660,838802,8342,10000,2010/2011,2011-02-12 00:00:00,HOME_WIN,69.0,64.0
661,838804,8635,9984,2010/2011,2011-02-12 00:00:00,HOME_WIN,65.0,72.0
662,838806,9985,9987,2010/2011,2011-02-13 00:00:00,AWAY_WIN,68.0,64.0
663,838808,9997,6351,2010/2011,2011-02-12 00:00:00,DRAW,64.0,59.0
664,838809,9994,9986,2010/2011,2011-02-12 00:00:00,DRAW,64.0,63.0
665,838810,8571,9991,2010/2011,2011-02-13 00:00:00,AWAY_WIN,72.0,58.0
667,838814,9989,9993,2010/2011,2011-02-12 00:00:00,DRAW,64.0,69.0
668,838815,8342,9994,2010/2011,2011-02-19 00:00:00,HOME_WIN,63.0,64.0
669,838817,9991,9985,2010/2011,2011-02-20 00:00:00,HOME_WIN,64.0,72.0
670,838819,9987,8203,2010/2011,2011-02-19 00:00:00,HOME_WIN,69.0,68.0
671,838820,9993,8571,2010/2011,2011-02-19 00:00:00,HOME_WIN,58.0,64.0
672,838822,10000,9989,2010/2011,2011-02-19 00:00:00,DRAW,69.0,69.0
673,838823,9986,9997,2010/2011,2011-02-19 00:00:00,HOME_WIN,59.0,64.0
674,838825,6351,9984,2010/2011,2011-02-19 00:00:00,DRAW,65.0,64.0
675,838827,10001,8635,2010/2011,2011-02-20 00:00:00,HOME_WIN,72.0,63.0
676,838829,8635,9987,2010/2011,2011-03-04 00:00:00,DRAW,68.0,72.0
677,838830,9985,8342,2010/2011,2011-03-06 00:00:00,DRAW,64.0,64.0
678,838832,9997,9993,2010/2011,2011-03-05 00:00:00,HOME_WIN,64.0,59.0
679,838833,9994,10000,2010/2011,2011-03-05 00:00:00,HOME_WIN,69.0,72.0
680,838835,8571,9986,2010/2011,2011-03-05 00:00:00,HOME_WIN,64.0,58.0
681,838838,8203,9991,2010/2011,2011-03-05 00:00:00,DRAW,72.0,69.0
682,838839,9989,6351,2010/2011,2011-03-06 00:00:00,DRAW,64.0,69.0
683,838841,9984,10001,2010/2011,2011-03-05 00:00:00,AWAY_WIN,63.0,65.0
684,838853,8342,8571,2010/2011,2011-03-12 00:00:00,HOME_WIN,68.0,64.0
686,838855,9987,10001,2010/2011,2011-03-12 00:00:00,AWAY_WIN,63.0,68.0
687,838857,9993,8203,2010/2011,2011-03-12 00:00:00,DRAW,69.0,64.0
688,838859,10000,9997,2010/2011,2011-03-12 00:00:00,AWAY_WIN,59.0,69.0
690,838862,9994,9989,2010/2011,2011-03-12 00:00:00,DRAW,69.0,72.0
691,838864,6351,8635,2010/2011,2011-03-12 00:00:00,DRAW,72.0,64.0
692,838491,8635,9993,2010/2011,2010-08-14 00:00:00,HOME_WIN,66.0,72.0
693,838493,9985,9994,2010/2011,2010-08-14 00:00:00,DRAW,72.0,69.0
694,838494,9991,6351,2010/2011,2010-08-14 00:00:00,HOME_WIN,64.0,71.0
698,838499,10001,10000,2010/2011,2010-08-14 00:00:00,DRAW,69.0,68.0
699,838500,9984,8342,2010/2011,2010-08-15 00:00:00,HOME_WIN,73.0,65.0
700,838867,8635,9991,2010/2011,2011-03-20 00:00:00,HOME_WIN,72.0,72.0
701,838869,9985,9993,2010/2011,2011-03-20 00:00:00,HOME_WIN,64.0,69.0
703,838872,8571,10000,2010/2011,2011-03-19 00:00:00,DRAW,69.0,68.0
704,838873,8203,6351,2010/2011,2011-03-20 00:00:00,HOME_WIN,64.0,69.0
705,838874,9989,8342,2010/2011,2011-03-20 00:00:00,DRAW,64.0,69.0
706,838875,10001,9986,2010/2011,2011-03-20 00:00:00,DRAW,64.0,63.0
707,838876,9984,9987,2010/2011,2011-03-20 00:00:00,AWAY_WIN,68.0,65.0
708,838503,8342,8203,2010/2011,2010-08-22 00:00:00,AWAY_WIN,69.0,73.0
709,838504,9993,10001,2010/2011,2010-08-21 00:00:00,DRAW,68.0,62.0
710,838506,9997,9985,2010/2011,2010-08-20 00:00:00,HOME_WIN,69.0,59.0
